Employee_Number,First_Name,Last_Name,Address,City,Work_Department,Phone_Number,HireDate,Job_Desc_,Education_Level,Gender,Salary,Birthdate,Bonus,Commission,Pay_Per_Period
000070,NABILA,ALMA,800 BOYLSTON ST.,SEMARANG,D21,7831,9/4/2016,MANAGER,16,F,36170000,4/26/1992,700000,2893000,3014170
000270,VANISHA,MITTAL,"SDF-I, SEEP2, ANDHERI (E)",SEMARANG,D21,9001,9/4/2016,CLERK,15,F,27380000,4/26/1992,500000,2190000,2281670
000100,DANNY,MCCARTY,OLD ADDRESS,AMSTERDAM,E21,972,5/24/2016,MANAGER,14,M,26150000,11/19/1995,500000,2092000,2179170
000290,INDY,MAN DE SOUSA,COYOAC N,SEMARANG,E11,4502,5/4/2016,OPERATOR,12,M,15340000,6/9/1985,300000,1227000,1278330
000240,HENRY,JENNINGS,4TH FLOOR - 1330 POST OAK,SEMARANG,D21,3780,11/9/2015,CLERK,17,M,28760000,3/1/1993,600000,2301000,2396670
200240,GERALD,ESTRIN,PO BOX 2189,SEMARANG,D21,3780,11/9/2015,CLERK,17,M,28760000,3/1/1993,600000,2301000,2396670
000210,DAVID,LAUER,1621 EUCLID AVENUE,SEMARANG,D11,942,3/16/2015,DESIGNER,17,M,18270000,1/25/1992,400000,1462000,1522500
000170,PETER,DIXON,230-232 PUTNEY BRIDGE ROAD,SEMARANG,D11,2890,8/20/2014,DESIGNER,16,M,24680000,12/6/1989,500000,1974000,2056670
200170,CATHERINE,EXELBY,1133 WEST PENDER,SEMARANG,D11,2890,8/20/2014,DESIGNER,16,M,24680000,12/6/1989,500000,1974000,2056670
000160,OLIVER,WOYE,ZIBRESTRASSE 50,SEMARANG,D11,3782,9/11/2016,DESIGNER,17,F,22250000,3/13/1994,400000,1780000,1854170
000140,ABED,BHATTI,HYLTON ROAD,SEMARANG,C01,1793,11/16/2015,ANALYST,18,F,28420000,12/20/1984,600000,2274000,2368330
200140,PHILIP,BERNAND,25 RUE DU CLOS D'ORLEANS,SEMARANG,C01,1793,11/16/2015,ANALYST,18,F,28420000,12/20/1984,600000,2274000,2368330
000330,DANIEL,BERRY,CASTLE STREET,SEMARANG,E21,2103,1/24/2015,FIELDREP,14,M,25370000,6/18/1980,500000,2030000,2114170
200330,VINCENT,SCARPETTA,SUITE 6 - 435 NORTH MICHIGAN AVENUE,SEMARANG,E21,2103,1/24/2015,FIELDREP,14,F,25370000,6/18/1980,500000,2030000,2114170
000260,CLAUDE,HURIET,RUE DU VERTUQUET,SEMARANG,D21,8953,8/12/2014,CLERK,16,F,17250000,9/6/1975,300000,1380000,1437500
